School Year,District Name,Category,4-Year Graduation Rate,Still Enrolled,Non-Completers (Certificate Of Attendance),Other,Column 8
2010,New Britain School District,Not Eligible For Lunch,63.51,15.6,0,20.8913649,
2010,New Britain School District,Special Education,45.38,25.3,0,29.23076923,
2010,New Britain School District,Non-Special Education,57.84,17.6,0,24.50980392,
2010,New Canaan School District,All Students,96.03,1.32,0,2.649006623,
2010,New Canaan School District,Hispanic,100,0,0,0,
2010,New Canaan School District,Non-Hispanic,95.96,1.35,0,2.693602694,
2010,New Canaan School District,Asian,100,0,0,0,
2010,New Canaan School District,Black,NA,NA,NA,NA,
2010,New Canaan School District,White,95.8,1.4,0,2.797202797,
2010,New Canaan School District,Male,97.28,1.36,0,1.360544218,
2010,New Canaan School District,Female,94.84,1.29,0,3.870967742,
2010,New Canaan School District,ELL,NA,NA,NA,NA,
2010,New Canaan School District,Non-ELL,96.33,1.33,0,2.333333333,
2010,New Canaan School District,Not Eligible For Lunch,96.03,1.32,0,2.649006623,
2010,New Canaan School District,Special Education,96.3,3.7,0,0,
2010,New Canaan School District,Non-Special Education,96,1.09,0,2.909090909,
2010,New Fairfield,All Students,92.7480916,3.053435115,0,4.198473282,
2010,New Fairfield,Hispanic,100,0,0,0,
2010,New Fairfield,Non-Hispanic,92.63565891,3.100775194,0,4.263565891,
2010,New Fairfield,Asian,75,0,0,25,
2010,New Fairfield,Black,100,0,0,0,
2010,New Fairfield,White,92.82868526,3.187250996,0,3.984063745,
2010,New Fairfield,Male,90.25974026,5.194805195,0,4.545454545,
2010,New Fairfield,Female,96.2962963,0,0,3.703703704,
2010,New Fairfield,Non-ELL,92.7480916,3.053435115,0,4.198473282,
2010,New Fairfield,Eligible For Lunch,57.14285714,14.28571429,0,28.57142857,
2010,New Fairfield,Not Eligible For Lunch,94.75806452,2.419354839,0,2.822580645,
2010,New Fairfield,Special Education,89.28571429,3.571428571,0,7.142857143,
2010,New Fairfield,Non-Special Education,93.16239316,2.991452991,0,3.846153846,
2010,New Haven School District,All Students,62.49,10.1,0.2,27.1152565,
2010,New Haven School District,Hispanic,54.97,10.6,0.23,34.18013857,
2010,New Haven School District,Non-Hispanic,65.54,10,0.19,24.25093633,
2010,New Haven School District,Indian,NA,NA,NA,NA,
2010,New Haven School District,Asian,75,15,0,10,
2010,New Haven School District,Black,60.76,11.9,0.24,27.01711491,
2010,New Haven School District,White,82.38,2.64,0,14.97797357,
2010,New Haven School District,Male,54.88,14.1,0.41,30.53645117,
2010,New Haven School District,Female,69.64,6.46,0,23.90180879,
2010,New Haven School District,ELL,54.14,11.2,0,34.58646617,
2010,New Haven School District,Non-ELL,63.3,10,0.22,26.38888889,
2010,New Haven School District,Eligible For Lunch,56.26,12.2,0.1,31.41414141,
2010,New Haven School District,Not Eligible For Lunch,74.56,6.26,0.39,18.78669276,
2010,New Haven School District,Special Education,45.7,34.4,0,19.86754967,
2010,New Haven School District,Non-Special Education,64.37,7.48,0.22,27.92592593,
2010,Newington School District,All Students,85.15,8.12,0,6.722689076,
2010,Newington School District,Hispanic,67.5,15,0,17.5,
2010,Newington School District,Non-Hispanic,87.38,7.26,0,5.362776025,
2010,Newington School District,Indian,NA,NA,NA,NA,
2010,Newington School District,Asian,94.12,2.94,0,2.941176471,
2010,Newington School District,Black,90,10,0,0,
2010,Newington School District,White,86.26,7.63,0,6.106870229,
2010,Newington School District,Male,80,11.5,0,8.421052632,
2010,Newington School District,Female,91.02,4.19,0,4.790419162,
2010,Newington School District,ELL,83.33,8.33,0,8.333333333,
2010,Newington School District,Non-ELL,85.22,8.12,0,6.66,
2010,Newington School District,Eligible For Lunch,72.41,18.9,0,8.620689655,
2010,Newington School District,Not Eligible For Lunch,87.63,6.02,0,6.35451505,
2010,Newington School District,Special Education,54.84,38.7,0,6.451612903,
2010,Newington School District,Non-Special Education,88.04,5.21,0,6.748466258,
2010,New London School District,All Students,63.92,15.4,0,20.6185567,
2010,New London School District,Hispanic,57.97,20.2,0,21.73913043,
2010,New London School District,Non-Hispanic,67.2,12.8,0,20,
2010,New London School District,Indian,100,0,0,0,
2010,New London School District,Asian,NA,NA,NA,NA,
2010,New London School District,Black,66.67,13.8,0,19.44444444,
2010,New London School District,White,61.36,13.6,0,25,
2010,New London School District,Male,61.4,16.6,0,21.92982456,
2010,New London School District,Female,67.5,13.7,0,18.75,
2010,New London School District,ELL,67.86,14.2,0,17.85714286,
2010,New London School District,Non-ELL,63.25,15.6,0,21.08433735,
2010,New London School District,Eligible For Lunch,60.53,20.1,0,19.29824561,
2010,New London School District,Not Eligible For Lunch,68.75,8.75,0,22.5,
2010,New London School District,Special Education,45.45,27.2,0,27.27272727,
2010,New London School District,Non-Special Education,67.7,13,0,19.25465839,
2010,New Milford School District,All Students,88.09,1.99,0,9.92,
2010,New Milford School District,Hispanic,96,0,0,4,
2010,New Milford School District,Non-Hispanic,87.57,2.12,0,10.31,
2010,New Milford School District,Asian,81.82,0,0,18.18181818,
2010,New Milford School District,Black,NA,NA,NA,NA,
2010,New Milford School District,White,88.4,1.93,0,9.668508287,
2010,New Milford School District,Male,85.11,2.66,0,12.23404255,
2010,New Milford School District,Female,90.7,1.4,0,7.9,
2010,New Milford School District,ELL,80,0,0,20,
2010,New Milford School District,Non-ELL,88.3,2.04,0,9.66,
2010,New Milford School District,Eligible For Lunch,65.79,2.63,0,31.57894737,
2010,New Milford School District,Not Eligible For Lunch,90.41,1.92,0,7.671232877,
2010,New Milford School District,Special Education,79.07,4.65,0,16.27906977,
2010,New Milford School District,Non-Special Education,89.17,1.67,0,9.16,
2010,Newtown School District,All Students,87.64,2.06,0,10.29748284,
2010,Newtown School District,Hispanic,84.62,7.69,0,7.692307692,
2010,Newtown School District,Non-Hispanic,87.74,1.89,0,10.37,
2010,Newtown School District,Indian,NA,NA,NA,NA,
2010,Newtown School District,Asian,100,0,0,0,
2010,Newtown School District,Black,NA,NA,NA,NA,
2010,Newtown School District,White,87.47,1.97,0,10.56,
2010,Newtown School District,Male,88.5,2.65,0,8.849557522,
2010,Newtown School District,Female,86.73,1.42,0,11.84834123,
2010,Newtown School District,ELL,NA,NA,NA,NA,
2010,Newtown School District,Non-ELL,87.82,1.84,0,10.34482759,
2010,Newtown School District,Eligible For Lunch,75,12.5,0,12.5,
2010,Newtown School District,Not Eligible For Lunch,87.88,1.86,0,10.25641026,
2010,Newtown School District,Special Education,75,11.1,0,13.88888889,
2010,Newtown School District,Non-Special Education,88.78,1.25,0,9.97,
2010,North Branford School District,All Students,84.88,4.07,0,11.04651163,
2010,North Branford School District,Hispanic,NA,NA,NA,NA,
2010,North Branford School District,Non-Hispanic,84.52,4.17,0,11.30952381,
2010,North Branford School District,Indian,NA,NA,NA,NA,
2010,North Branford School District,Asian,NA,NA,NA,NA,
2010,North Branford School District,Black,NA,NA,NA,NA,
2010,North Branford School District,White,85.09,3.73,0,11.18012422,
2010,North Branford School District,Male,82.61,5.43,0,11.95652174,
2010,North Branford School District,Female,87.5,2.5,0,10,
2010,North Branford School District,ELL,NA,NA,NA,NA,
2010,North Branford School District,Non-ELL,84.8,4.09,0,11.11111111,
2010,North Branford School District,Eligible For Lunch,71.43,4.76,0,23.80952381,
2010,North Branford School District,Not Eligible For Lunch,86.75,3.97,0,9.271523179,
2010,North Branford School District,Special Education,53.33,26.6,0,20,
2010,North Branford School District,Non-Special Education,87.9,1.91,0,10.1910828,
2010,North Haven School District,All Students,92.58,2.26,0,5.161290323,
2010,North Haven School District,Hispanic,77.78,16.6,0,5.555555556,
2010,North Haven School District,Non-Hispanic,93.49,1.37,0,5.136986301,
2010,North Haven School District,Asian,100,0,0,0,
2010,North Haven School District,Black,82.35,0,0,17.64705882,
2010,North Haven School District,White,93.63,1.59,0,4.780876494,
2010,North Haven School District,Male,90.18,3.07,0,6.748466258,
2010,North Haven School District,Female,95.24,1.36,0,3.401360544,
2010,North Haven School District,ELL,NA,NA,NA,NA,
2010,North Haven School District,Non-ELL,92.48,2.29,0,5.22875817,
2010,North Haven School District,Eligible For Lunch,90,3.33,0,6.666666667,
2010,North Haven School District,Not Eligible For Lunch,92.86,2.14,0,5,
2010,North Haven School District,Special Education,72.97,13.5,0,13.51351351,
2010,North Haven School District,Non-Special Education,95.24,0.73,0,4.029304029,
2010,North Stonington School District,All Students,89.09,0,0,10.90909091,
2010,North Stonington School District,Hispanic,NA,NA,NA,NA,
2010,North Stonington School District,Non-Hispanic,92.45,0,0,7.547169811,
2010,North Stonington School District,Indian,NA,NA,NA,NA,
2010,North Stonington School District,White,92.31,0,0,7.692307692,
2010,North Stonington School District,Male,90.32,0,0,9.677419355,
2010,North Stonington School District,Female,87.5,0,0,12.5,
2010,North Stonington School District,Non-ELL,89.09,0,0,10.90909091,
2010,North Stonington School District,Eligible For Lunch,NA,NA,NA,NA,
2010,North Stonington School District,Not Eligible For Lunch,91.84,0,0,8.163265306,
2010,North Stonington School District,Special Education,NA,NA,NA,NA,
2010,North Stonington School District,Non-Special Education,88.46,0,0,11.53846154,
2010,Norwalk School District,All Students,83.6,5.1,0,11.30012151,
2010,Norwalk School District,Hispanic,78.67,4.89,0,16.44444444,
2010,Norwalk School District,Non-Hispanic,85.45,5.18,0,9.364548495,
2010,Norwalk School District,Indian,NA,NA,NA,NA,
2010,Norwalk School District,Asian,91.67,2.78,0,5.55,
2010,Norwalk School District,Black,76.99,7.96,0,15.04424779,
2010,Norwalk School District,White,90.63,3.63,0,5.740181269,
2010,Norwalk School District,Male,81.05,6.48,0,12.46882793,
2010,Norwalk School District,Female,86.02,3.79,0,10.18957346,
2010,Norwalk School District,ELL,73.68,1.75,0,24.56140351,
2010,Norwalk School District,Non-ELL,84.33,5.35,0,10.31331593,
2010,Norwalk School District,Eligible For Lunch,77.78,7.02,0,15.20467836,
2010,Norwalk School District,Not Eligible For Lunch,85.12,4.6,0,10.27607362,
2010,Norwalk School District,Special Education,61.36,27.2,0,11.36363636,
2010,Norwalk School District,Non-Special Education,86.26,2.45,0,11.29251701,
2010,Norwich School District,All Students,28.57,19,4.76,47.61904762,
2010,Norwich School District,Hispanic,NA,NA,NA,NA,
2010,Norwich School District,Non-Hispanic,30,20,5,45,
2010,Norwich School District,Black,NA,NA,NA,NA,
2010,Norwich School District,White,33.33,16.6,5.56,44.44444444,
2010,Norwich School District,Male,NA,NA,NA,NA,
2010,Norwich School District,Female,35.71,21.4,7.14,35.71428571,
2010,Norwich School District,Non-ELL,28.57,19,4.76,47.61904762,
2010,Norwich School District,Eligible For Lunch,NA,NA,NA,NA,
2010,Norwich School District,Not Eligible For Lunch,NA,NA,NA,NA,
2010,Norwich School District,Special Education,NA,NA,NA,NA,
2010,Norwich School District,Non-Special Education,31.58,15.7,5.26,47.36842105,
2010,Old Saybrook School District,All Students,93.02,3.1,0,3.875968992,
2010,Old Saybrook School District,Hispanic,NA,NA,NA,NA,
2010,Old Saybrook School District,Non-Hispanic,92.91,3.15,0,3.937007874,
2010,Old Saybrook School District,Asian,NA,NA,NA,NA,
2010,Old Saybrook School District,Black,NA,NA,NA,NA,
2010,Old Saybrook School District,White,93.39,2.48,0,4.132231405,
2010,Old Saybrook School District,Male,92.31,3.08,0,4.61,
2010,Old Saybrook School District,Female,93.75,3.13,0,3.12,
2010,Old Saybrook School District,ELL,NA,NA,NA,NA,
2010,Old Saybrook School District,Non-ELL,92.86,3.17,0,3.968253968,
2010,Old Saybrook School District,Eligible For Lunch,NA,NA,NA,NA,
2010,Old Saybrook School District,Not Eligible For Lunch,93.55,2.42,0,4.032258065,
2010,Old Saybrook School District,Special Education,85,15,0,0,
2010,Old Saybrook School District,Non-Special Education,94.5,0.92,0,4.58,
2010,Oxford School District,All Students,92.86,3.57,0,3.571428571,
2010,Oxford School District,Hispanic,NA,NA,NA,NA,
2010,Oxford School District,Non-Hispanic,92.73,3.64,0,3.63,
2010,Oxford School District,Indian,NA,NA,NA,NA,
2010,Oxford School District,Asian,NA,NA,NA,NA,
2010,Oxford School District,Black,NA,NA,NA,NA,
2010,Oxford School District,White,94.29,2.86,0,2.85,
2010,Oxford School District,Male,90.91,6.06,0,3.03030303,
2010,Oxford School District,Female,95.65,0,0,4.347826087,
2010,Oxford School District,Non-ELL,92.86,3.57,0,3.571428571,
2010,Oxford School District,Eligible For Lunch,NA,NA,NA,NA,
2010,Oxford School District,Not Eligible For Lunch,93.46,2.8,0,3.738317757,
2010,Oxford School District,Special Education,88.24,11.7,0,0,
2010,Oxford School District,Non-Special Education,93.68,2.11,0,4.210526316,
2010,Plainfield School District,All Students,71.72,7.79,0.41,20.08196721,
2010,Plainfield School District,Hispanic,50,7.14,0,42.85714286,
2010,Plainfield School District,Non-Hispanic,73.04,7.83,0.43,18.69565217,
2010,Plainfield School District,Asian,66.67,22.2,0,11.11111111,
2010,Plainfield School District,Black,NA,NA,NA,NA,
2010,Plainfield School District,White,73.18,7.27,0.45,19.09090909,
2010,Plainfield School District,Male,68.91,10,0.84,20.16806723,
2010,Plainfield School District,Female,74.4,5.6,0,20,
2010,Plainfield School District,ELL,NA,NA,NA,NA,
2010,Plainfield School District,Non-ELL,72.38,7.53,0.42,19.66527197,
2010,Plainfield School District,Eligible For Lunch,49.15,20.3,1.69,28.81355932,
2010,Plainfield School District,Not Eligible For Lunch,78.92,3.78,0,17.2972973,
2010,Plainfield School District,Special Education,55.56,13.8,0,30.55555556,
2010,Plainfield School District,Non-Special Education,74.52,6.73,0.48,18.26923077,
2010,Plainville School District,All Students,88.05,2.2,0,9.75,
2010,Plainville School District,Hispanic,82.35,0,0,17.65,
2010,Plainville School District,Non-Hispanic,88.51,2.38,0,9.11,
2010,Plainville School District,Indian,NA,NA,NA,NA,
2010,Plainville School District,Asian,90.91,0,0,9.09,
2010,Plainville School District,Black,78.57,14.2,0,7.14,
2010,Plainville School District,White,89.07,1.63,0,9.3,
2010,Plainville School District,Male,88.79,0.85,0,10.36,
2010,Plainville School District,Female,87.27,3.64,0,9.09,
2010,Plainville School District,ELL,NA,NA,NA,NA,
2010,Plainville School District,Non-ELL,88,2.21,0,9.79,
2010,Plainville School District,Eligible For Lunch,68.97,3.45,0,27.58,
2010,Plainville School District,Not Eligible For Lunch,90,2.02,0,7.98,
2010,Plainville School District,Special Education,84.62,7.69,0,7.69,
2010,Plainville School District,Non- Special Education,88.5,1.49,0,10.01,
2010,Plymouth School District,All Students,84.78,5.07,0,10.14492754,
2010,Plymouth School District,Hispanic,NA,NA,NA,NA,
2010,Plymouth School District,Non-Hispanic,84.56,5.15,0,10.29411765,
2010,Plymouth School District,Asian,NA,NA,NA,NA,
2010,Plymouth School District,Black,NA,NA,NA,NA,
2010,Plymouth School District,White,84.96,4.51,0,10.52631579,
2010,Plymouth School District,Male,77.59,10.3,0,12.06896552,
2010,Plymouth School District,Female,90,1.25,0,8.75,
2010,Plymouth School District,Non-ELL,84.78,5.07,0,10.14492754,
2010,Plymouth School District,Eligible For Lunch,63.64,13.6,0,22.72727273,
2010,Plymouth School District,Not Eligible For Lunch,88.79,3.45,0,7.75862069,
2010,Plymouth School District,Special Education,NA,NA,NA,NA,
2010,Plymouth School District,Non-Special Education,88.28,2.34,0,9.375,
2010,Portland School District,All Students,87.76,2.04,0,10.20408163,
2010,Portland School District,Hispanic,NA,NA,NA,NA,
2010,Portland School District,Non-Hispanic,87.37,2.11,0,10.52,
2010,Portland School District,Black,85.71,14.2,0,0,
2010,Portland School District,White,87.5,1.14,0,11.36363636,
2010,Portland School District,Male,88.37,0,0,11.62790698,
2010,Portland School District,Female,87.27,3.64,0,9.090909091,
2010,Portland School District,Non-ELL,87.76,2.04,0,10.20408163,
2010,Portland School District,Eligible For Lunch,70,10,0,20,
2010,Portland School District,Not Eligible For Lunch,89.77,1.14,0,9.090909091,
2010,Portland School District,Special Education,81.82,9.09,0,9.090909091,
2010,Portland School District,Non-Special Education,88.51,1.15,0,10.34482759,
2010,Putnam School District,All Students,67.01,11.3,0,21.64948454,
2010,Putnam School District,Hispanic,NA,NA,NA,NA,
2010,Putnam School District,Non-Hispanic,67.02,10.6,0,22.34042553,
2010,Putnam School District,Asian,NA,NA,NA,NA,
2010,Putnam School District,Black,NA,NA,NA,NA,
2010,Putnam School District,White,65.91,10.2,0,23.86363636,
2010,Putnam School District,Male,60,15.5,0,24.44444444,
2010,Putnam School District,Female,73.08,7.69,0,19.23076923,
2010,Putnam School District,ELL,NA,NA,NA,NA,
2010,Putnam School District,Non-ELL,67.37,10.5,0,22.10526316,
2010,Putnam School District,Eligible For Lunch,59.38,21.8,0,18.75,
2010,Putnam School District,Not Eligible For Lunch,70.77,6.15,0,23.07692308,
2010,Putnam School District,Special Education,46.67,33.3,0,20,
2010,Putnam School District,Non-Special Education,70.73,7.32,0,21.95121951,
2010,Ridgefield School District,All Students,96.5,1.17,0,2.33,
2010,Ridgefield School District,Hispanic,100,0,0,0,
2010,Ridgefield School District,Non-Hispanic,96.41,1.2,0,2.392344498,
2010,Ridgefield School District,Asian,94.44,5.56,0,0,
2010,Ridgefield School District,Black,100,0,0,0,
2010,Ridgefield School District,White,96.46,1.01,0,2.53164557,
2010,Ridgefield School District,Male,96.17,1.91,0,1.913875598,
2010,Ridgefield School District,Female,96.8,0.46,0,2.739726027,
2010,Ridgefield School District,ELL,NA,NA,NA,NA,
2010,Ridgefield School District,Non-ELL,96.69,1.18,0,2.127659574,
2010,Ridgefield School District,Eligible For Lunch,100,0,0,0,
2010,Ridgefield School District,Not Eligible For Lunch,96.43,1.19,0,2.380952381,
2010,Ridgefield School District,Special Education,83.33,10,0,6.666666667,
2010,Ridgefield School District,Non-Special Education,97.49,0.5,0,2.010050251,
2010,Rocky Hill School District,All Students,89.62,5.19,0,5.188679245,
2010,Rocky Hill School District,Hispanic,81.82,0,0,18.18181818,
2010,Rocky Hill School District,Non-Hispanic,90.05,5.47,0,4.47761194,
2010,Rocky Hill School District,Asian,77.78,11.1,0,11.11111111,
2010,Rocky Hill School District,Black,100,0,0,0,
2010,Rocky Hill School District,White,90.96,5.08,0,3.95480226,
2010,Rocky Hill School District,Male,86.27,8.82,0,4.901960784,
2010,Rocky Hill School District,Female,92.73,1.82,0,5.454545455,
2010,Rocky Hill School District,ELL,100,0,0,0,
2010,Rocky Hill School District,Non-ELL,89.37,5.31,0,5.314009662,
2010,Rocky Hill School District,Eligible For Lunch,75,12.5,0,12.5,
2010,Rocky Hill School District,Not Eligible For Lunch,90.82,4.59,0,4.591836735,
2010,Rocky Hill School District,Special Education,62.5,29.1,0,8.333333333,
2010,Rocky Hill School District,Non-Special Education,93.09,2.13,0,4.78,
2010,Seymour School District,All Students,87.06,3.48,0,9.452736318,
2010,Seymour School District,Hispanic,91.3,0,0,8.695652174,
2010,Seymour School District,Non-Hispanic,86.52,3.93,0,9.550561798,
2010,Seymour School District,Indian,NA,NA,NA,NA,
2010,Seymour School District,Asian,83.33,0,0,16.66666667,
2010,Seymour School District,Black,NA,NA,NA,NA,
2010,Seymour School District,White,86.59,4.27,0,9.14,
2010,Seymour School District,Male,81.72,5.38,0,12.90322581,
2010,Seymour School District,Female,91.67,1.85,0,6.481481481,
2010,Seymour School District,Non-ELL,87.06,3.48,0,9.452736318,
2010,Seymour School District,Eligible For Lunch,75.86,10.3,0,13.79310345,
2010,Seymour School District,Not Eligible For Lunch,88.95,2.33,0,8.720930233,
2010,Seymour School District,Special Education,66.67,11.1,0,22.22222222,
2010,Seymour School District,Non-Special Education,88.02,3.13,0,8.854166667,
2010,Shelton School District,All Students,89.23,3.35,0,7.416267943,
2010,Shelton School District,Hispanic,72.41,3.45,0,24.13793103,
2010,Shelton School District,Non-Hispanic,90.49,3.34,0,6.16966581,
2010,Shelton School District,Indian,NA,NA,NA,NA,
2010,Shelton School District,Asian,94.44,0,0,5.555555556,
2010,Shelton School District,Black,90.91,0,0,9.090909091,
2010,Shelton School District,White,90.25,3.62,0,6.128133705,
2010,Shelton School District,Male,85.14,5.86,0,9,
2010,Shelton School District,Female,93.88,0.51,0,5.612244898,
2010,Shelton School District,ELL,NA,NA,NA,NA,
2010,Shelton School District,Non-ELL,89.37,3.38,0,7.246376812,
2010,Shelton School District,Eligible For Lunch,75,12.5,0,12.5,
2010,Shelton School District,Not Eligible For Lunch,90.74,2.38,0,6.878306878,
2010,Shelton School District,Special Education,73.91,17.3,0,8.695652174,
2010,Shelton School District,Non-Special Education,90.13,2.53,0,7.341772152,
2010,Simsbury School District,All Students,94.79,3.31,0,1.9,
2010,Simsbury School District,Hispanic,92.31,7.69,0,0,
2010,Simsbury School District,Non-Hispanic,94.87,3.17,0,1.96,
2010,Simsbury School District,Indian,NA,NA,NA,NA,
2010,Simsbury School District,Asian,95.23,4.76,0,0.01,
2010,Simsbury School District,Black,75,16.6,0,8.33,
2010,Simsbury School District,White,95.4,2.66,0,1.94,
2010,Simsbury School District,Male,95.92,3.17,0,0.91,
2010,Simsbury School District,Female,93.56,3.47,0,2.97,
2010,Simsbury School District,ELL,NA,NA,NA,NA,
2010,Simsbury School District,Non-ELL,94.76,3.33,0,1.91,
2010,Simsbury School District,Eligible For Lunch,75,8.33,0,16.67,
2010,Simsbury School District,Not Eligible For Lunch,95.37,3.16,0,1.47,
2010,Simsbury School District,Special Education,91.48,8.51,0,0,
2010,Simsbury School District,Non- Special Education,95.21,1.6,0,3.19,
2010,Somers School District,All Students,90.48,4.08,0,5.442176871,
2010,Somers School District,Hispanic,NA,NA,NA,NA,
2010,Somers School District,Non-Hispanic,90.34,4.14,0,5.517241379,
2010,Somers School District,Asian,NA,NA,NA,NA,
2010,Somers School District,Black,NA,NA,NA,NA,
2010,Somers School District,White,91.37,3.6,0,5.03,
2010,Somers School District,Male,90.41,2.74,0,6.849315068,
2010,Somers School District,Female,90.54,5.41,0,4.054054054,
2010,Somers School District,ELL,NA,NA,NA,NA,
2010,Somers School District,Non-ELL,90.41,4.11,0,5.479452055,
2010,Somers School District,Eligible For Lunch,NA,NA,NA,NA,
2010,Somers School District,Not Eligible For Lunch,92.14,2.14,0,5.714285714,
2010,Somers School District,Special Education,76.47,23.5,0,0,
2010,Somers School District,Non-Special Education,92.31,1.54,0,6.153846154,
2010,Southington School District,All Students,87.43,7.07,0,5.500982318,
2010,Southington School District,Hispanic,68.97,20.6,0,10.34482759,
2010,Southington School District,Non-Hispanic,88.54,6.25,0,5.208333333,
2010,Southington School District,Asian,100,0,0,0,
2010,Southington School District,Black,92.31,7.69,0,0,
2010,Southington School District,White,88.11,6.39,0,5.5,
2010,Southington School District,Male,84.88,10,0,5.03875969,
2010,Southington School District,Female,90.04,3.98,0,5.976095618,
2010,Southington School District,ELL,71.43,14.2,0,14.28571429,
2010,Southington School District,Non-ELL,87.65,6.97,0,5.378486056,
2010,Southington School District,Eligible For Lunch,56.52,19.5,0,23.91304348,
2010,Southington School District,Not Eligible For Lunch,90.5,5.83,0,3.671706263,
2010,Southington School District,Special Education,54.24,32.2,0,13.55932203,
2010,Southington School District,Non-Special Education,91.78,3.78,0,4.444444444,
2010,South Windsor School District,All Students,92.35,2.55,0,5.102040816,
2010,South Windsor School District,Hispanic,93.75,0,0,6.25,
2010,South Windsor School District,Non-Hispanic,92.29,2.66,0,5.053191489,
2010,South Windsor School District,Indian,NA,NA,NA,NA,
2010,South Windsor School District,Asian,96.3,0,0,3.703703704,
2010,South Windsor School District,Black,80.77,3.85,0,15.38461538,
2010,South Windsor School District,White,93.17,2.48,0,4.347826087,
2010,South Windsor School District,Male,90.91,3.83,0,5.263157895,
2010,South Windsor School District,Female,93.99,1.09,0,4.918032787,
2010,South Windsor School District,ELL,83.33,0,0,16.66666667,
2010,South Windsor School District,Non-ELL,92.49,2.59,0,4.922279793,
2010,South Windsor School District,Eligible For Lunch,61.9,9.52,0,28.57142857,
2010,South Windsor School District,Not Eligible For Lunch,94.07,2.16,0,3.773584906,
2010,South Windsor School District,Special Education,75,17.5,0,7.5,
2010,South Windsor School District,Non-Special Education,94.32,0.85,0,4.829545455,
2010,Stafford School District,All Students,74.41,13.95,0.77,10.87,
2010,Stafford School District,Hispanic,100,0,0,0,
2010,Stafford School District,Non-Hispanic,73.38,14.51,0.8,11.34,
2010,Stafford School District,Asian,NA,NA,NA,NA,
2010,Stafford School District,Black,NA,NA,NA,NA,
2010,Stafford School District,White,72.3,15.25,0.84,11.61,
2010,Stafford School District,Male,69.3,17.46,0,13.24,
2010,Stafford School District,Female,80.3,10.6,1.52,7.58,
2010,Stafford School District,Non-ELL,74.41,13.95,0.77,10.87,
2010,Stafford School District,Eligible For Lunch,54.16,16.6,0,29.18,
2010,Stafford School District,Not Eligible For Lunch,79.04,13.33,0.95,6.68,
2010,Stafford School District,Special Education,31.25,37.5,6.25,25,
2010,Stafford School District,Non-Special Education,80.53,10.61,0,8.86,
2010,Stamford School District,All Students,82.22,7.01,0,10.76923077,
2010,Stamford School District,Hispanic,70.65,10,0,19.29347826,
2010,Stamford School District,Non-Hispanic,87.53,5.61,0,6.857855362,
2010,Stamford School District,Asian,92.65,2.94,0,4.411764706,
2010,Stamford School District,Black,78.75,11.7,0,9.523809524,
2010,Stamford School District,White,91.97,2.39,0,5.639913232,
2010,Stamford School District,Male,80.69,9,0,10.31096563,
2010,Stamford School District,Female,83.9,4.83,0,11.27012522,
2010,Stamford School District,ELL,54.82,14.4,0,30.72289157,
2010,Stamford School District,Non-ELL,86.75,5.78,0,7.470119522,
2010,Stamford School District,Eligible For Lunch,73.5,11.7,0,14.74654378,
2010,Stamford School District,Not Eligible For Lunch,87.36,4.21,0,8.423913043,
2010,Stamford School District,Special Education,70.19,23,0,6.730769231,
2010,Stamford School District,Non-Special Education,83.4,5.44,0,11.16322702,
2010,Stonington School District,All Students,90.36,3.05,0,6.59,
2010,Stonington School District,Hispanic,92.31,7.69,0,0,
2010,Stonington School District,Non-Hispanic,90.22,2.72,0,7.06,
2010,Stonington School District,Indian,NA,NA,NA,NA,
2010,Stonington School District,Asian,100,0,0,0,
2010,Stonington School District,Black,NA,NA,NA,NA,
2010,Stonington School District,White,89.6,2.89,0,7.514450867,
2010,Stonington School District,Male,88.89,5.05,0,6.060606061,
2010,Stonington School District,Female,91.84,1.02,0,7.142857143,
2010,Stonington School District,ELL,NA,NA,NA,NA,
2010,Stonington School District,Non-ELL,90.21,3.09,0,6.701030928,
2010,Stonington School District,Eligible For Lunch,75,6.25,0,18.75,
2010,Stonington School District,Not Eligible For Lunch,91.71,2.76,0,5.524861878,
2010,Stonington School District,Special Education,70,15,0,15,
2010,Stonington School District,Non-Special Education,92.66,1.69,0,5.649717514,
2010,Stratford School District,All Students,88.89,3.03,0.17,7.912457912,
2010,Stratford School District,Hispanic,77.89,6.32,0,15.78947368,
2010,Stratford School District,Non-Hispanic,90.98,2.4,0.2,6.412825651,
2010,Stratford School District,Asian,100,0,0,0,
2010,Stratford School District,Black,88.08,1.32,0,10.59602649,
2010,Stratford School District,White,91.79,3.04,0.3,4.863221884,
2010,Stratford School District,Male,84.35,5.44,0.34,9.863945578,
2010,Stratford School District,Female,93.33,0.67,0,6,
2010,Stratford School District,ELL,73.33,6.67,0,20,
2010,Stratford School District,Non-ELL,89.29,2.94,0.17,7.599309154,
2010,Stratford School District,Eligible For Lunch,85.53,0.63,0.63,13.20754717,
2010,Stratford School District,Not Eligible For Lunch,90.11,3.91,0,5.977011494,
2010,Stratford School District,Special Education,58.82,15.6,0,25.49019608,
2010,Stratford School District,Non-Special Education,91.71,1.84,0.18,6.261510129,
2010,Suffield School District,All Students,92.2,1.83,0.46,5.504587156,
2010,Suffield School District,Hispanic,83.33,0,0,16.66666667,
2010,Suffield School District,Non-Hispanic,92.45,1.89,0.47,5.188679245,
2010,Suffield School District,Asian,NA,NA,NA,NA,
2010,Suffield School District,Black,83.33,0,0,16.66666667,
